LC,Amplitude,AndersonDarling,Autocor_length,Automean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SmallKurtosis,Std,StetsonK,freq1_harmonics_amplitude_0,freq1_harmonics_amplitude_1,freq1_harmonics_amplitude_2,freq1_harmonics_amplitude_3,freq1_harmonics_rel_phase_0,freq1_harmonics_rel_phase_1,freq1_harmonics_rel_phase_2,freq1_harmonics_rel_phase_3,freq2_harmonics_amplitude_0,freq2_harmonics_amplitude_1,freq2_harmonics_amplitude_2,freq2_harmonics_amplitude_3,freq2_harmonics_rel_phase_0,freq2_harmonics_rel_phase_1,freq2_harmonics_rel_phase_2,freq2_harmonics_rel_phase_3,freq3_harmonics_amplitude_0,freq3_harmonics_amplitude_1,freq3_harmonics_amplitude_2,freq3_harmonics_amplitude_3,freq3_harmonics_rel_phase_0,freq3_harmonics_rel_phase_1,freq3_harmonics_rel_phase_2,freq3_harmonics_rel_phase_3
OGLE-LMC-ACEP-001,0.432,0.999820195317,1,18.6777142857,0.234894438003,2.76865370397,6.74613595009,0.0,38.8107470368,0.231382978723,0.481382978723,0.642287234043,0.941489361702,0.964095744681,-0.000110613763056,0.100927161381,18.6777142857,0.0148869908033,0.1955,0.178571428571,0.0333333333333,0.0317028985507,0.0400682011935,0.850222519804,0.105135075882,0.24943681155,0.503962850588,0.4845,0.181637119136,-0.462927085554,-1.1036900967,0.278054960798,0.891873301618,0.33661863611,0.168901732326,0.0639802596314,0.111559060312,0.0,1.69068510705,0.248303975967,-0.306458073525,0.0937726023394,0.0250232691145,0.0192951138751,0.0658379402028,0.0,0.141038904592,0.213385083436,0.334308367184,0.0735289911179,0.015154520383,0.0144709845287,0.0163123408417,0.0,0.927749919581,-0.772290944026,-0.255913873305
OGLE-LMC-ACEP-002,0.4175,0.991210593344,1,18.2554642857,-0.171504424315,4.3215304387,4.22430538085,0.0,36.5600328542,0.313700384123,0.40204865557,0.548015364917,0.778489116517,0.914212548015,-9.55864599377e-05,0.117770376096,18.2554642857,0.0141584861792,0.2175,0.142857142857,0.166666666667,0.0294897373528,0.0426904260843,0.976564408339,0.119545557045,0.31404911948,0.623590473159,0.42675,0.186448621635,-0.427717490505,-0.918404614857,0.258469738785,0.881295684274,0.309237694915,0.168274066958,0.0963852524228,0.0240322952696,0.0,-1.3263190994,-0.831312379977,-0.51031823051,0.108790920046,0.0357116229093,0.0340209239475,0.0421669959315,0.0,0.40128666172,0.333044581895,-1.34074894002,0.0592350079238,0.0359829785756,0.032624893945,0.0067985506519,0.0,2.65100978184,1.74888875762,1.29416250412
OGLE-LMC-ACEP-003,0.446,0.999997362214,1,18.7840483871,1.07712711853,0.141431558155,132.813698952,0.0,26431.061848,0.307328605201,0.45390070922,0.663120567376,0.796690307329,0.916075650118,-0.000154069267283,11.929460581,18.7840483871,0.0154771471902,0.2685,0.129032258065,0.1,0.0263339894664,0.0450071819971,0.381790798412,1.85893376067e-07,0.262912934067,0.288619142534,0.555,0.20788587332,-0.211750714825,-1.30668729712,0.290723481714,0.893599378519,0.374231229165,0.165227226243,0.115528737069,0.0766429149177,0.0,-0.840165469513,-1.39610957016,0.825940361147,0.0864832165738,0.0440088346682,0.0528283031861,0.0510543034716,0.0,-0.606691569546,0.829078501805,-0.664301356872,0.0682184932496,0.0158319245535,0.015414323391,0.013685097408,0.0,1.78094989676,1.22049331588,0.709299883419
OGLE-LMC-ACEP-004,0.521,0.986165129369,1,17.7968125,1.62510700295,0.0804244052836,221.286218247,0.0,245.809716401,0.146750524109,0.318658280922,0.555555555556,0.856394129979,0.923480083857,0.000233861982476,0.583098698729,17.7968125,0.0180362181075,0.253,0.21875,0.1,0.0375262347838,0.0533930320414,1.86171270782,0.0171062584984,0.289250491848,0.381749484887,0.52225,0.176110755529,-0.359666281532,-0.948086572296,0.320987191869,0.84551173497,0.407191958714,0.212381314075,0.180854477444,0.0356567846844,0.0,-0.278139475169,-0.440274956745,-1.14755075745,0.142228048626,0.0471256040312,0.00664707645318,0.038210448542,0.0,0.170783316736,-1.3267295091,-1.86267034046,0.078237641293,0.0287810029634,0.0309136888334,0.0277734308052,0.0,-0.341046833552,-0.733778102131,0.422899707288
OGLE-LMC-ACEP-005,0.222,0.999999879963,1,18.5414444444,-0.340465974073,0.307983886733,60.2026444992,0.0,60.5440377588,0.0810810810811,0.275184275184,0.488943488943,0.692874692875,0.941031941032,2.04615052456e-05,0.0833664020061,18.5414444444,0.00718345781616,0.0625,0.388888888889,0.0333333333333,0.0182835018284,0.0218864271886,0.932213914662,0.00112503934595,0.289172949369,0.28499235579,0.18975,0.121193567209,-0.794194798699,-0.501091626692,0.133191684017,0.850625901551,0.18494460329,0.0798863226231,0.0324304217497,0.0534548904233,0.0,0.561644245984,1.44027665042,1.69448257758,0.0394554633359,0.00828081470463,0.0259495456709,0.00544155269414,0.0,0.12769833946,-1.69790152409,-0.582375408064,0.0342701468254,0.0127404059163,0.0140875478423,0.0156438603895,0.0,-1.34375724895,0.254447646911,0.174832686921
OGLE-LMC-ACEP-006,0.337,0.995109906841,1,17.6902972973,0.657779608927,0.189226841816,93.4872512141,0.0,55.8303887145,0.112443778111,0.257871064468,0.386806596702,0.680659670165,0.877061469265,-8.4555660575e-05,0.152046901918,17.6902972973,0.0113057536868,0.135,0.324324324324,0.166666666667,0.0243764812098,0.0376368355716,0.84955117868,0.00277516375986,0.26960996603,0.362147097037,0.258,0.148033475252,-0.570869845199,-0.50583454129,0.200002143889,0.808844507137,0.264959985599,0.12206696995,0.0579668935032,0.0637821994211,0.0,-0.196325270306,-0.775738298527,0.863576017025,0.0602433087771,0.0261101519715,0.0323865251814,0.0322087606523,0.0,-0.0693913105664,0.38105524224,1.46587800687,0.0350660759829,0.00938776777949,0.0107254930628,0.0238207794068,0.0,-1.0989268047,-1.92916641143,0.445921113674
OGLE-LMC-ACEP-007,0.5805,0.99993617012,1,18.2163333333,1.1654703982,0.190735305255,95.5058283989,0.0,66.4542975065,0.258036490009,0.41529105126,0.5325803649,0.693310165074,0.81754995656,2.55174597478e-05,0.272013124066,18.2163333333,0.019678364613,0.231,0.166666666667,0.0333333333333,0.0448118989893,0.0627094173091,0.896348972393,0.0255227502297,0.233271734692,0.65738648811,0.61075,0.226090963764,-0.527745353536,-0.933971717505,0.358467649245,0.882924862721,0.441837201343,0.239647923523,0.175758474459,0.119446376598,0.0,1.22181153564,-0.0562019107768,1.12536923199,0.177205638268,0.0521953071635,0.0462989421279,0.0668672345308,0.0,-2.16270248639,-0.908775443681,-0.67138027741,0.156517139005,0.0482763312481,0.0824886464679,0.0297445754424,0.0,-0.930192496939,-0.309488850492,0.0889803939768
OGLE-LMC-ACEP-008,0.2285,0.999999999732,1,17.92725,-0.103959844207,4.58217936838,3.9123850375,0.0,28.5021161715,0.193621867882,0.4715261959,0.653758542141,0.820045558087,0.927107061503,-8.7594752656e-06,0.0553119757519,17.92725,0.00879505429897,0.067,0.333333333333,-0.0333333333333,0.0203175308094,0.0243699344954,0.749015706504,0.000399512445967,0.442200287692,0.231796895567,0.287,0.184059263174,-0.669348579194,-1.05392457778,0.157671137181,0.889421574666,0.204859052622,0.130766013364,0.0484588695317,0.126290927987,0.0,-0.675217128725,0.932980769468,0.361822260282,0.130506153772,0.105451406397,0.135848468038,0.0945211428171,0.0,1.46815907723,-0.211393460399,-0.59966486151,0.177717472686,0.139007375058,0.0674913191698,0.131647764398,0.0,-2.10552286209,-2.18773591065,-0.0673129947247
OGLE-LMC-ACEP-009,0.322,0.999999731072,1,17.8809428571,-0.65271358048,0.251581319091,71.0742074242,0.0,46.4888217361,0.381260096931,0.562197092084,0.804523424879,0.846526655897,0.943457189015,5.23989272471e-05,0.116549322174,17.8809428571,0.0128996239302,0.151,0.171428571429,0.0333333333333,0.0266636665354,0.034820273387,0.800103679311,0.000525407460265,0.276533417892,0.296672497414,0.4795,0.196081927471,0.320097806154,-1.48555918143,0.230657438375,0.922559027536,0.289025531864,0.089073596797,0.0595386574247,0.0305843536843,0.0,-2.30278481224,0.132538971248,-0.274990117074,0.0730592558224,0.0145497740373,0.0207843662755,0.0157651933751,0.0,2.14419607045,0.111842691507,-0.185767319726,0.059409277873,0.0102886486285,0.00772007103617,0.0120599828474,0.0,-0.0857047453179,-0.192208207755,-0.334210836966
OGLE-LMC-ACEP-010,0.5415,0.999999091959,1,18.7545555556,0.940178624889,0.195330374284,96.0145375459,0.0,43.6300964577,0.207446808511,0.467021276596,0.55,0.608510638298,0.83829787234,7.93060968134e-05,0.218195494085,18.7545555556,0.0164255877898,0.177,0.222222222222,-0.1,0.0453413846072,0.0497907728164,0.834189163792,0.00491113913875,0.319277617264,0.603411991715,0.51025,0.164452970464,-0.712299340698,-0.539273301476,0.308054598736,0.885084404214,0.360365763371,0.265607937419,0.0608605678779,0.0714435768522,0.0,0.232448887076,-1.63281538898,-0.568617759451,0.185712644506,0.00282085986927,0.0191058094738,0.093534543871,0.0,-2.53311461111,-0.43877105273,-0.806236379018,0.135694588006,0.0200154038608,0.0560509098029,0.0584551964203,0.0,-1.16095687981,-1.71933228526,-1.43049017963
