LC,Amplitude,AndersonDarling,Autocor_length,Automean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SmallKurtosis,Std,StetsonK,freq1_harmonics_amplitude_0,freq1_harmonics_amplitude_1,freq1_harmonics_amplitude_2,freq1_harmonics_amplitude_3,freq1_harmonics_rel_phase_0,freq1_harmonics_rel_phase_1,freq1_harmonics_rel_phase_2,freq1_harmonics_rel_phase_3,freq2_harmonics_amplitude_0,freq2_harmonics_amplitude_1,freq2_harmonics_amplitude_2,freq2_harmonics_amplitude_3,freq2_harmonics_rel_phase_0,freq2_harmonics_rel_phase_1,freq2_harmonics_rel_phase_2,freq2_harmonics_rel_phase_3,freq3_harmonics_amplitude_0,freq3_harmonics_amplitude_1,freq3_harmonics_amplitude_2,freq3_harmonics_amplitude_3,freq3_harmonics_rel_phase_0,freq3_harmonics_rel_phase_1,freq3_harmonics_rel_phase_2,freq3_harmonics_rel_phase_3
OGLE-LMC-LPV-00001,0.0245,0.707268529861,2,14.9506327945,-0.0067181715653,5.12799679916,2.91549183434,0.0,4.66561449475,0.15,0.3,0.425,0.6,0.8,-9.76806842532e-07,0.0189972946445,14.9506327945,0.000821337882936,0.009,0.376443418014,-0.0333333333333,0.00260852116915,0.00267540632734,18.0893418996,0.00130450963233,0.103188796587,1.99985177484,0.017,0.15815268791,-0.118582874042,-0.264201532804,0.012279521088,0.811350466441,0.00488085189168,0.000482318645269,0.000814885726572,0.00183605128604,0.0,-0.394641351973,-1.44896728604,-2.28373102826,0.00447845229096,0.00105329001852,0.0011799296682,0.00237942927936,0.0,1.45498939334,2.46752953813,0.401972962772,0.00418064107919,0.00194210240004,0.00133514427957,0.00269602998691,0.0,-1.29369095375,-1.37467245468,-1.32930446456
OGLE-LMC-LPV-00002,0.023,0.737185480685,1,15.3478683603,-0.00636855865977,5.06758874336,3.02863336737,0.0,5.32018591147,0.179487179487,0.307692307692,0.410256410256,0.564102564103,0.794871794872,6.20067718704e-07,0.0201290270635,15.3478683603,0.000786689783046,0.008,0.468822170901,0.366666666667,0.0029319781079,0.00254104769351,16.8221697259,0.000207179932376,0.0935604788867,1.95623166724,0.016,0.107473269354,-0.000153949867184,0.138453046222,0.0120740112306,0.805921413811,0.00506863397003,0.000511139403916,0.000947917337518,0.000439684063634,0.0,0.772828793638,1.02857157384,-0.470673364365,0.00452452691593,0.00142198957009,0.00111721567401,0.0011276255122,0.0,-1.34496282301,0.352902163954,-0.156657533094,0.00398426461917,0.000415465488301,0.000950836839353,0.00137480074311,0.0,0.237983944764,-1.14931448548,-1.41962436483
OGLE-LMC-LPV-00003,0.0535,0.431688193533,8,14.9059649123,0.00888128346185,17.1077707041,0.871297913102,0.0,1.81598445534,0.144444444444,0.277777777778,0.388888888889,0.566666666667,0.788888888889,7.82896057205e-06,0.0233278124177,14.9059649123,0.00180221083159,0.017,0.411027568922,-0.166666666667,0.00530023482053,0.0060382422006,352.549727234,1.0394723435e-26,0.210208202946,1.23109527056,0.035,0.15968615107,0.0317347377467,-0.162031813864,0.0268636914202,0.799694338597,0.0226632618017,0.0147489933765,0.00105158185036,0.000337667436429,0.0,-0.305676740629,-1.53228345882,1.03958277655,0.0130514234744,0.00129125894816,0.00152867684496,0.0022714008754,0.0,-0.222275346922,-0.474364545522,-0.932283346388,0.0127643096958,0.00298514822181,0.00271140359482,0.000742420491107,0.0,0.60870600369,1.22170440761,-0.0704182007759
OGLE-LMC-LPV-00004,0.0655,0.912022990106,4,14.8612378753,-0.0074124405847,34.1348278881,0.435368765415,0.0139211136891,0.613537064547,0.132743362832,0.238938053097,0.353982300885,0.504424778761,0.672566371681,3.41844608498e-06,0.0161032216508,14.8612378753,0.00209771964549,0.02,0.43648960739,-0.0333333333333,0.00605612004576,0.00760379516856,0.49998,5.13060389179e-10,0.18448462298,1.68714314492,0.04,0.151757202756,0.186227975481,0.121712420927,0.0311747106472,0.789242913517,0.0174070937,0.00402597212167,0.00329286399972,0.0041351598552,0.0,-0.342281316535,0.498906235684,-0.396002558733,0.0165264163727,0.00278160749847,0.00723048521884,0.00488569810208,0.0,-0.638016625344,-0.972670820325,-0.290600669011,0.0108381179018,0.00126252010078,0.000359639494139,0.00162165780935,0.0,-1.46450394025,-0.638882010496,-1.58359944572
OGLE-LMC-LPV-00005,0.095,0.999637133994,5,14.2080856481,-0.00853373023003,64.7148744833,0.219548994904,0.0279069767442,0.450565503204,0.197278911565,0.292517006803,0.414965986395,0.544217687075,0.768707482993,2.54151644099e-06,0.0272389439072,14.2080856481,0.00323570447149,0.029,0.453703703704,-0.233333333333,0.00978046721081,0.0103433717985,75.6613569863,1.28838103711e-12,0.125106411392,1.85845424721,0.061,0.180827265597,0.0556840221634,0.230547429932,0.045973166263,0.799478659332,0.0271089991849,0.0045027470621,0.00183234564792,0.00241344531354,0.0,2.2645754208,2.64344198014,2.85713895888,0.0261720537848,0.00872140745136,0.0163765206648,0.0157678876532,0.0,1.55833992372,1.18272214758,-1.13388323221,0.0193300729597,0.00218339140524,0.00648735151483,0.000915644008142,0.0,2.90040678288,0.641155771912,1.55173700829
OGLE-LMC-LPV-00006,0.021,0.64832311896,2,15.378369515,-0.00299340016088,15.3858078698,0.999516544411,0.0046403712297,3.87455734675,0.138888888889,0.277777777778,0.388888888889,0.555555555556,0.777777777778,4.58584079622e-06,0.0115114538966,15.378369515,0.000701058698696,0.007,0.464203233256,0.166666666667,0.0024710625569,0.00234100663285,3313.967436,1.09969191976e-12,0.230873985271,1.11965821399,0.014,0.230873985271,0.142539525754,0.108546327306,0.0107811397203,0.791859834341,0.00596292068934,0.0032197169678,0.00522063371629,0.00236733576333,0.0,0.75229896288,0.528277455919,1.1662541312,0.00392948585703,0.00044162295784,0.00060937271657,0.000914654094682,0.0,-0.277520680846,0.140598918167,1.3707379678,0.00348714375604,0.00101861219002,0.000357447142479,0.000866547110629,0.0,0.646539941383,-1.2820890498,-0.576360226078
OGLE-LMC-LPV-00007,0.025,0.972072002473,2,15.5084746544,-0.00476874185006,11.1836020577,1.38671552996,0.0,3.40812637422,0.142857142857,0.261904761905,0.428571428571,0.571428571429,0.785714285714,-3.5716809916e-06,0.0168598942785,15.5084746544,0.000825538917166,0.009,0.433179723502,0.0333333333333,0.00232153221126,0.00270845424647,280.844697966,2.64138254135e-11,0.168585982333,1.68356695476,0.018,0.161018058129,0.105514214094,-0.0737625728333,0.0128028493731,0.803417468387,0.00739427084854,0.00274919519617,0.00146191526737,0.00282858300808,0.0,-1.0337835781,0.431581372487,0.865997680731,0.00505537414784,0.00113735639624,0.00194524899107,0.000991867321525,0.0,0.0602126203318,0.918391623642,1.19364040139,0.00373195977742,0.00122660540417,0.000423461959495,0.00091942054033,0.0,0.953283747241,1.55141936463,-0.0938689893501
OGLE-LMC-LPV-00008,0.016,0.970391235502,2,14.3318294931,0.00081635201559,74.4707257984,0.192449171664,0.00231481481481,3.93637628029,0.16,0.24,0.4,0.56,0.76,-4.85795190764e-07,0.00866245094054,14.3318294931,0.000530325663289,0.005,0.447004608295,0.1,0.00188389617639,0.00174434831147,1656.983718,1.78992329357e-08,0.165280026113,1.12858540281,0.01,0.165280026114,-0.242654778123,0.433531105815,0.00760053698207,0.784595354044,0.00441705695876,0.000915592148675,0.00136679563507,0.000299336148047,0.0,0.345587114357,0.163647929892,-1.23314087512,0.00357872758833,0.00168486174301,0.000774818256264,0.000864265650666,0.0,2.17882295133,2.85990701721,2.12224871927,0.0024067116096,0.000628139738725,0.000789579984885,0.000478078440313,0.0,-0.858914584627,-0.143683644257,0.386943593854
OGLE-LMC-LPV-00009,0.039,0.829599491854,4,15.0953225806,0.0060206152194,17.1012758785,0.882701541561,0.00925925925926,1.64548105141,0.15,0.283333333333,0.433333333333,0.583333333333,0.8,9.0488539745e-06,0.0146421459529,15.0953225806,0.00125003774955,0.013,0.453917050691,-0.1,0.00443855581318,0.00397482610136,3313.967436,6.81387823264e-14,0.230110888191,0.554188537916,0.02575,0.230110888191,0.262797551312,0.263274847356,0.0188697230674,0.792875959601,0.0115993648073,0.00709579142805,0.00538511511601,0.00112610881561,0.0,0.66727717078,-0.956096592006,1.43642930426,0.0072450587526,0.000864338474413,0.00232079247705,0.0021017213049,0.0,0.297675528965,1.45219972995,-0.688727647717,0.00569494329835,0.000414520363053,0.000944029250378,0.000698822665458,0.0,-1.1006724571,-1.19039468368,1.31717385535
OGLE-LMC-LPV-00010,0.018,0.936101844837,1,15.1875742297,-0.00408926720667,4.87829130837,3.11329792947,0.0,8.0874986964,0.166666666667,0.266666666667,0.433333333333,0.566666666667,0.733333333333,2.12733711338e-06,0.0120774162381,15.1875742297,0.000596615994459,0.006,0.445378151261,-0.166666666667,0.0019094021596,0.00197524361338,2.40421317179,0.00530031415591,0.0866228041634,1.85920381028,0.013,0.138769671656,-0.104275064948,0.169444262263,0.00906114970246,0.79839840705,0.00383783946538,0.000378079861088,0.00112682325544,0.000873975350886,0.0,1.742942076,-0.304220745746,1.30150811108,0.0033052959345,0.000697845854216,0.00036894318956,0.000932834865447,0.0,0.274255343649,0.849462908751,-0.951514475156,0.00346020697643,0.00252110469403,0.000593666413854,0.000315987734332,0.0,0.705609700952,-1.34508406831,-2.17466278324
