LC,Amplitude,AndersonDarling,Autocor_length,Automean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SmallKurtosis,Std,StetsonK,freq1_harmonics_amplitude_0,freq1_harmonics_amplitude_1,freq1_harmonics_amplitude_2,freq1_harmonics_amplitude_3,freq1_harmonics_rel_phase_0,freq1_harmonics_rel_phase_1,freq1_harmonics_rel_phase_2,freq1_harmonics_rel_phase_3,freq2_harmonics_amplitude_0,freq2_harmonics_amplitude_1,freq2_harmonics_amplitude_2,freq2_harmonics_amplitude_3,freq2_harmonics_rel_phase_0,freq2_harmonics_rel_phase_1,freq2_harmonics_rel_phase_2,freq2_harmonics_rel_phase_3,freq3_harmonics_amplitude_0,freq3_harmonics_amplitude_1,freq3_harmonics_amplitude_2,freq3_harmonics_amplitude_3,freq3_harmonics_rel_phase_0,freq3_harmonics_rel_phase_1,freq3_harmonics_rel_phase_2,freq3_harmonics_rel_phase_3
OGLE-LMC-RRLYR-00001,0.3235,0.855716092701,1,18.8171337386,-0.216912948114,1.03455558073,18.1886155651,0.0,8.74591853802,0.165137614679,0.317431192661,0.45504587156,0.598165137615,0.809174311927,1.73912902445e-06,0.34869572959,18.8171337386,0.00889145496121,0.127,0.367781155015,-0.1,0.0231570002124,0.0289462502656,0.634757930005,3.17051429876e-37,0.213932530168,0.453017183732,0.248,0.0461317875802,-0.0141107793326,-0.467975571706,0.167311697136,0.821406956631,0.178442733568,0.0837931447392,0.0501241149137,0.0418835590245,0.0,-0.651510878864,1.80923144514,1.27409176068,0.0299410281249,0.0053254053188,0.00427110713426,0.0109975629202,0.0,-0.209796249531,0.652897654875,0.108554299007,0.0260886330195,0.0143421999779,0.00174103373529,0.00809794294785,0.0,1.32208718635,0.639588613529,-1.05227706938
OGLE-LMC-RRLYR-00002,0.2055,0.999991658528,1,18.8495674157,0.136544196341,1.02900248791,18.3182913912,0.0,9.34803934133,0.21875,0.335227272727,0.502840909091,0.622159090909,0.815340909091,1.78285226401e-05,0.297723634376,18.8495674157,0.00581637416767,0.0845,0.331460674157,0.166666666667,0.0147827702434,0.0186841476685,0.625523718762,2.97273264588e-43,0.209669550405,0.63763898608,0.17725,0.0906884501785,0.0434394600269,-0.726336763871,0.109636136989,0.843983766208,0.121865356879,0.0433302097424,0.0107217702627,0.0090204836841,0.0,2.48694297161,0.350631764209,0.161550913433,0.0300262642283,0.0026181121514,0.00217041719923,0.01217493875,0.0,-1.0105159479,-1.25881397391,-1.6037923396,0.0185979240543,0.00098260233819,0.00473011410866,0.0075894517105,0.0,-1.84006060526,-1.2446075359,-1.21849228748
OGLE-LMC-RRLYR-00003,0.2485,0.999999154495,1,18.6732436975,-0.156645206482,1.4245871345,13.1078283983,0.0,8.56703964539,0.194196428571,0.359375,0.515625,0.658482142857,0.825892857143,-7.00271195943e-06,0.351251522258,18.6732436975,0.00760527993133,0.115,0.322128851541,0.0333333333333,0.0214144226136,0.0239841533273,0.656499760552,3.94295445228e-46,0.212907881391,0.271964522279,0.231,0.0703226532817,0.0899667525623,-0.722709188676,0.142015245545,0.840449462409,0.160543241077,0.0754128740188,0.0549105427744,0.021786301167,0.0,0.0266867815136,0.366339322133,0.842340961782,0.0224884568272,0.00420884434264,0.0082326375618,0.0048595382824,0.0,0.781951670728,2.67267475567,2.58990525715,0.0160411483702,0.00398870293758,0.00167319678124,0.00395855692605,0.0,1.02663378628,0.242866449792,0.361534763933
OGLE-LMC-RRLYR-00004,0.334,1.0,1,18.7870364146,-0.180548612273,2.04327400913,9.19457514293,0.0,6.72699144478,0.212837837838,0.346283783784,0.493243243243,0.633445945946,0.864864864865,1.95193889474e-05,0.306258322237,18.7870364146,0.0101006496166,0.141,0.302521008403,0.0333333333333,0.028427205101,0.0314558979809,0.512377249127,4.40461747924e-52,0.212931884235,0.362146285594,0.292,0.0480561735161,-0.462620565218,-0.719993379162,0.189761272157,0.845969560269,0.230174162888,0.0846305306919,0.0375580077502,0.0264514673223,0.0,-0.545375780628,-1.25652205965,0.489628484935,0.0328993932603,0.0079544103623,0.00495214146601,0.014305657805,0.0,0.445036580124,0.542542991823,0.837583432168,0.0278345633461,0.0170660693498,0.00818810793135,0.00670185416881,0.0,-1.5704145567,-0.45151901113,-1.54235737287
OGLE-LMC-RRLYR-00005,0.1985,0.999999999985,1,18.9466797753,-0.132481545629,0.979188014424,19.3493787671,0.0,9.66393661515,0.211764705882,0.358823529412,0.491176470588,0.670588235294,0.835294117647,1.27853096987e-07,0.229689534711,18.9466797753,0.0057514996789,0.082,0.323033707865,-0.0333333333333,0.0162133614999,0.0179561658305,0.643342792057,1.7948467203e-36,0.210647680309,0.786874930757,0.1665,0.100694442805,0.319941283017,-0.598419386444,0.108971822644,0.839880929001,0.109560740404,0.0382282634929,0.0243696226902,0.0228502157277,0.0,0.534519234051,-1.45025489035,-0.311092184002,0.0230149020025,0.00413546444765,0.00415167774712,0.0031944823929,0.0,2.28442385683,2.22486943512,1.74183227563,0.0215370801023,0.00201575903804,0.0110429724134,0.00315965690356,0.0,-1.64158787403,-1.23872265858,-1.59333895786
OGLE-LMC-RRLYR-00006,0.261,0.999924361129,1,18.7858960674,-0.420046365423,0.196876293566,95.4197975143,0.0,9.58802236395,0.182203389831,0.302966101695,0.470338983051,0.622881355932,0.847457627119,1.64836799232e-05,0.250019212542,18.7858960674,0.00762193362796,0.1045,0.331460674157,-0.1,0.0175298592823,0.0251110579097,0.60003507877,1.99921749487e-39,0.224808670559,0.573774174871,0.221,0.0696778866304,-0.0309151388379,-0.755980174648,0.143184852968,0.831306758014,0.155440974193,0.0589663705118,0.0508079555771,0.0245856590448,0.0,-1.99801603629,-0.623274963372,-2.7318078425,0.0300079404559,0.00111315106924,0.00878770559566,0.00165032330359,0.0,2.10320891164,-0.590228465813,-0.493837234532,0.0271561619609,0.0067033026444,0.00347980336739,0.00799078599683,0.0,0.243266606045,1.0145438346,0.557406470487
OGLE-LMC-RRLYR-00007,0.346,1.0,1,18.7716207865,-0.539625360088,0.240757774415,77.9689080951,0.0,11.690084097,0.204918032787,0.349180327869,0.504918032787,0.652459016393,0.827868852459,2.18998989084e-05,0.307088125434,18.7716207865,0.0103226099484,0.148,0.35393258427,-0.0333333333333,0.0306787643349,0.032461485246,0.55286088113,2.32097541991e-44,0.210036253088,0.443768548174,0.3065,0.0691458866375,-0.374009674769,-0.603039838476,0.193772119478,0.840419954389,0.214531293488,0.0922845740666,0.0495819712833,0.0456602825385,0.0,-0.729028945649,1.3570691034,0.629445748277,0.033963753244,0.00925772859788,0.00465279174495,0.00614918195798,0.0,-0.040553873116,-0.0525463856931,0.178634953995,0.031855289147,0.00787885882166,0.00413304140403,0.00467464020914,0.0,-1.50288234274,-2.4501819284,-0.985511064809
OGLE-LMC-RRLYR-00008,0.194,0.999999999461,1,18.7046561605,0.341394322452,0.183146974425,102.129211903,0.0,13.4404582054,0.238636363636,0.352272727273,0.505681818182,0.684659090909,0.869318181818,-6.48026713767e-07,0.185509275464,18.7046561605,0.00611450110446,0.088,0.292263610315,-0.0333333333333,0.0193634661674,0.0188285637871,0.787726319732,1.06357091048e-43,0.212358041456,0.425313415419,0.178,0.0690762202465,0.305676992696,-0.629979415669,0.114369640752,0.843846945441,0.130314547075,0.0439907054696,0.035268395014,0.0392259044285,0.0,1.91457982889,1.02915307307,-0.0675433833409,0.0206299483742,0.0110345677918,0.0110715399855,0.00172628381356,0.0,0.45691238585,-0.102939347808,0.803112098656,0.0196496670167,0.00323561878523,0.00868731947042,0.00443010055939,0.0,2.27144475271,-0.217898206323,1.25441652039
OGLE-LMC-RRLYR-00009,0.2995,0.387720514392,1,19.0092188366,-0.73307301697,0.0705983852837,269.258549755,0.0,11.7284859761,0.141414141414,0.266666666667,0.434343434343,0.616161616162,0.826262626263,3.03863264248e-06,0.624862588088,19.0092188366,0.0081884350828,0.107,0.465373961219,0.0333333333333,0.0285684221603,0.0260430367759,0.358019106341,8.90009739903e-27,0.182201384618,1.17267849228,0.215,0.0598405826846,-0.110545790805,-0.0679981259108,0.155655754418,0.799356434816,0.136633583153,0.0444781210701,0.016715713743,0.0257184459854,0.0,1.65208094251,0.0495641136043,0.595090134447,0.0961163026628,0.0171072943262,0.00473014741757,0.0146178938092,0.0,1.64123361593,2.02227586795,0.893569320861,0.0328053726587,0.0077803840915,0.00583743521891,0.00731394594869,0.0,2.20444246351,-0.348412820022,0.719203533466
OGLE-LMC-RRLYR-00010,0.2745,0.999043345566,1,18.8629325843,-0.62989287229,0.0897113396164,210.262522719,0.0,11.9518667558,0.200873362445,0.329694323144,0.495633187773,0.628820960699,0.792576419214,5.90381668594e-06,0.334007691691,18.8629325843,0.00771326106454,0.11,0.38202247191,0.1,0.0230734588996,0.0242655434581,0.594065587219,5.01098491272e-42,0.215658635508,0.491199631471,0.2255,0.0602569952743,-0.0748194676834,-0.366957334544,0.145494723465,0.830198813383,0.155302088671,0.0712384994852,0.0361350036619,0.0045312204592,0.0,-0.725323295951,1.82614727414,-0.262310934352,0.025974765298,0.00985849312909,0.00438681306645,0.0110372271915,0.0,1.59500198798,0.418603534126,0.963948180887,0.0243682599621,0.00304653350072,0.000815646364435,0.0205211639195,0.0,0.283154400544,-0.17659065498,-0.65824732023
